sample	viral_hit
IT1	YP_010356533.1 virion structural protein [Cellulophaga phage Calle_1]
IT1	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT1	YP_010356522.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010845116.1 recombinase [Vibrio phage vB_VpaM_VPs20]
IT1	YP_009855310.1 hypothetical protein HWC97_gp27 [Flavobacterium phage vB_FspS_snusmum6-1]
IT1	sp|P15032|RECE_ECOLI Exodeoxyribonuclease 8; Xu
IT1	YP_008241478.1 virion structural protein [Cellulophaga phage phi38:1]
IT1	REFSEQ virion structural protein; Xu
IT1	REFSEQ virion structural protein; Xu
IT1	REFSEQ hypothetical protein; Xu
IT1	YP_008241142.1 virion structural protein [Cellulophaga phage phi46:3]
IT1	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_008240888.1 terminase large subunit [Cellulophaga phage phi19:3]
IT1	YP_007675015.1 hypothetical protein CPKG_00042 [Cyanophage KBS-S-2A]
IT1	YP_008320321.1 hypothetical protein N386_gp59 [Puniceispirillum phage HMO-2011]
IT1	Family of unknown function (DUF5856) [PF19174.4]
IT1	YP_010356757.1 DNA repair protein [Tenacibaculum phage Gundel_1]
IT1	YP_008241418.1 hypothetical protein Phi38:1_gp037 [Cellulophaga phage phi38:1]
IT1	YP_010356577.1 peptidase [Cellulophaga phage Calle_1]
IT1	YP_009839276.1 deoxynucleoside monophosphate kinase [Streptomyces phage Blueeyedbeauty]
IT1	YP_009981771.1 DNA polymerase I [IAS virus]
IT1	YP_009449271.1 Uracil-DNA glycosylase [Orpheovirus IHUMI-LCC2]
IT1	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010356521.1 hypothetical protein M1M21_gp27 [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	Photosynthesis system II assembly factor YCF48 [PF14870.10]
IT1	YP_010356163.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT1	YP_010356525.1 hypothetical protein M1M21_gp23 [Flavobacterium phage vB_FspP_elemoC_14-1A]
